Model,Accuracy,F1-Score
Extra Trees,0.8551454138702461,0.8497962863096683
Random Forest,0.8294183445190156,0.8188431442987508
Decision Tree,0.7813199105145414,0.7795093564172745
MLP (Neural Net),0.7684563758389261,0.766616196124725
K-Nearest Neighbors,0.75,0.7499187164022272
Gradient Boosting,0.7460850111856824,0.7201224618403681
Logistic Regression,0.6655480984340044,0.6259261014275705
LDA,0.6582774049217002,0.6153333103113966
Linear SVC,0.6633109619686801,0.612389873777405
SGD Classifier,0.656599552572707,0.6106416902166364
Ridge Classifier,0.6599552572706935,0.6074515872284983
AdaBoost,0.6532438478747203,0.5979963263028366
Gaussian Naive Bayes,0.4854586129753915,0.4722064873011399
