source_folder,source_session_path,session_id,participant_id,timestamp_ms,label_3class,delta_pct,theta_pct,low_alpha_pct,high_alpha_pct,low_beta_pct,high_beta_pct,low_gamma_pct,mid_gamma_pct,attention,meditation,signal_quality,marker_ev_praised_active,marker_ev_qna_active,marker_ev_question_active,marker_ev_scolded_active,marker_ev_speaking_active,marker_ev_tech_issue_active
sessions,sessions/0054,0054,P0054,1774857972940,neutral,0.9320668023,0.0172150542,0.0049646500,0.0177413925,0.0171747490,0.0074422332,0.0021835925,0.0012115263,77,97,51,0,0,0,0,0,0
sessions,sessions/0054,0054,P0054,1774857973920,neutral,0.3301724955,0.1669936499,0.0844896218,0.1212491707,0.1321391337,0.1057838120,0.0478011563,0.0113709601,77,97,51,0,0,0,0,0,0
sessions,sessions/0054,0054,P0054,1774857976914,neutral,0.6039051604,0.2064156206,0.0711297071,0.0516039052,0.0292887029,0.0237099024,0.0097629010,0.0041841004,77,97,25,0,0,0,0,0,0
sessions,sessions/0054,0054,P0054,1774857977910,neutral,0.9252713497,0.0441197990,0.0095418347,0.0016483550,0.0064712747,0.0116775610,0.0010412572,0.0002285687,77,97,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857978884,neutral,0.4858745036,0.0557974084,0.0186154861,0.0324236086,0.3190227927,0.0659560325,0.0160460498,0.0062641184,77,97,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857980878,neutral,0.2792037445,0.0631081128,0.0131898939,0.1352131734,0.4323171593,0.0566848653,0.0091151671,0.0111678837,77,97,26,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857982864,neutral,0.7497848650,0.0841201055,0.1003500763,0.0073330969,0.0280770476,0.0170812578,0.0068241753,0.0064293756,78,97,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857985841,neutral,0.7209235142,0.1860639604,0.0218926631,0.0334118138,0.0187277507,0.0088552943,0.0063144077,0.0038105957,43,38,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857986836,neutral,0.8919864732,0.0286099938,0.0121501007,0.0296249137,0.0184297886,0.0088924350,0.0016825760,0.0086237189,48,37,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857987827,neutral,0.6117304008,0.2433698959,0.0283281995,0.0313756057,0.0164437850,0.0343150145,0.0200123962,0.0144247023,56,47,0,0,0,0,0,0,1
